Campaign,Ad group,Keyword,Match Type,Status,Max CPC,Final URL
Insurer Brand (LEGAL GATE),Sanitas - Cardiología Madrid,sanitas cardiologo madrid,Exact,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/cardiologia
Insurer Brand (LEGAL GATE),Sanitas - Cardiología Madrid,sanitas cardiología madrid,Exact,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/cardiologia
Insurer Brand (LEGAL GATE),Sanitas - Cardiología Madrid,sanitas cardiologo cita urgente,Exact,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/cardiologia
Insurer Brand (LEGAL GATE),Sanitas - Cardiología Madrid,sanitas cardiologo madrid,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/cardiologia
Insurer Brand (LEGAL GATE),Sanitas - Cardiología Madrid,sanitas cardiología madrid,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/cardiologia
Insurer Brand (LEGAL GATE),Sanitas - Cardiología Madrid,sanitas cardiologo cita,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/cardiologia
Insurer Brand (LEGAL GATE),Sanitas - Cardiología Madrid,cuadro medico sanitas cardiologo,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/cardiologia
Insurer Brand (LEGAL GATE),Sanitas - Cardiología Madrid,sanitas no me da cita cardiologo,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/cardiologia
Insurer Brand (LEGAL GATE),Sanitas - Ginecología Madrid,sanitas ginecologo madrid,Exact,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/ginecologia
Insurer Brand (LEGAL GATE),Sanitas - Ginecología Madrid,sanitas ginecóloga madrid,Exact,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/ginecologia
Insurer Brand (LEGAL GATE),Sanitas - Ginecología Madrid,sanitas ginecologo cita urgente,Exact,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/ginecologia
Insurer Brand (LEGAL GATE),Sanitas - Ginecología Madrid,sanitas ginecologo madrid,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/ginecologia
Insurer Brand (LEGAL GATE),Sanitas - Ginecología Madrid,sanitas ginecóloga madrid,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/ginecologia
Insurer Brand (LEGAL GATE),Sanitas - Ginecología Madrid,sanitas ginecologo cita,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/ginecologia
Insurer Brand (LEGAL GATE),Sanitas - Ginecología Madrid,cuadro medico sanitas ginecologo,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/ginecologia
Insurer Brand (LEGAL GATE),Sanitas - Ginecología Madrid,sanitas no me da cita ginecologo,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/sanitas/ginecologia
Insurer Brand (LEGAL GATE),Adeslas - Cardiología Madrid,adeslas cardiologo madrid,Exact,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/cardiologia
Insurer Brand (LEGAL GATE),Adeslas - Cardiología Madrid,adeslas cardiología madrid,Exact,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/cardiologia
Insurer Brand (LEGAL GATE),Adeslas - Cardiología Madrid,adeslas cardiologo cita urgente,Exact,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/cardiologia
Insurer Brand (LEGAL GATE),Adeslas - Cardiología Madrid,adeslas cardiologo madrid,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/cardiologia
Insurer Brand (LEGAL GATE),Adeslas - Cardiología Madrid,adeslas cardiología madrid,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/cardiologia
Insurer Brand (LEGAL GATE),Adeslas - Cardiología Madrid,adeslas cardiologo cita,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/cardiologia
Insurer Brand (LEGAL GATE),Adeslas - Cardiología Madrid,cuadro medico adeslas cardiologo,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/cardiologia
Insurer Brand (LEGAL GATE),Adeslas - Cardiología Madrid,adeslas no me da cita cardiologo,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/cardiologia
Insurer Brand (LEGAL GATE),Adeslas - Ginecología Madrid,adeslas ginecologo madrid,Exact,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/ginecologia
Insurer Brand (LEGAL GATE),Adeslas - Ginecología Madrid,adeslas ginecóloga madrid,Exact,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/ginecologia
Insurer Brand (LEGAL GATE),Adeslas - Ginecología Madrid,adeslas ginecologo cita urgente,Exact,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/ginecologia
Insurer Brand (LEGAL GATE),Adeslas - Ginecología Madrid,adeslas ginecologo madrid,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/ginecologia
Insurer Brand (LEGAL GATE),Adeslas - Ginecología Madrid,adeslas ginecóloga madrid,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/ginecologia
Insurer Brand (LEGAL GATE),Adeslas - Ginecología Madrid,adeslas ginecologo cita,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/ginecologia
Insurer Brand (LEGAL GATE),Adeslas - Ginecología Madrid,cuadro medico adeslas ginecologo,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/ginecologia
Insurer Brand (LEGAL GATE),Adeslas - Ginecología Madrid,adeslas no me da cita ginecologo,Phrase,Paused,2.50,https://www.medconnect.es/aseguradoras/adeslas/ginecologia
